name,lat,lng
Prime Time Athletic Club,37.5969779,-122.3775192
Bay Club Redwood Shores,37.5197372,-122.2513046
Equinox San Mateo,37.5622045,-122.3246826
Equinox Palo Alto,37.4220024,-122.1381236
24 Hour Fitness,37.6046994,-122.3972595
Crunch Fitness,37.5454012,-122.2902047
24 Hour Fitness,37.549696,-122.31478
Peninsula Family YMCA,37.5531265,-122.301467
24 Hour Fitness,37.549696,-122.31478
GymClass,37.5252733,-122.2801648
24 Hour Fitness,37.4987745,-122.2431634
24 Hour Fitness,37.4874599,-122.2109995
